,Date,Visitor,HG,Home,AG,winner
0,2015-10-07,Vancouver Canucks,5,Calgary Flames,1,0
1,2015-10-07,New York Rangers,3,Chicago Blackhawks,2,0
2,2015-10-07,San Jose Sharks,5,Los Angeles Kings,1,0
3,2015-10-07,Montreal Canadiens,3,Toronto Maple Leafs,1,0
4,2015-10-08,Winnipeg Jets,6,Boston Bruins,2,0
5,2015-10-08,Ottawa Senators,3,Buffalo Sabres,1,0
6,2015-10-08,Minnesota Wild,5,Colorado Avalanche,4,0
7,2015-10-08,Pittsburgh Penguins,0,Dallas Stars,3,1
8,2015-10-08,Carolina Hurricanes,1,Nashville Predators,2,1
9,2015-10-08,Edmonton Oilers,1,St. Louis Blues,3,1
10,2015-10-08,Philadelphia Flyers,2,Tampa Bay Lightning,3,1
11,2015-10-09,New York Rangers,4,Columbus Blue Jackets,2,0
12,2015-10-09,Toronto Maple Leafs,0,Detroit Red Wings,4,1
13,2015-10-09,Arizona Coyotes,4,Los Angeles Kings,1,0
14,2015-10-09,Winnipeg Jets,3,New Jersey Devils,1,0
15,2015-10-09,Chicago Blackhawks,3,New York Islanders,2,0
16,2015-10-10,Pittsburgh Penguins,1,Arizona Coyotes,2,1
17,2015-10-10,Montreal Canadiens,4,Boston Bruins,2,0
18,2015-10-10,Tampa Bay Lightning,4,Buffalo Sabres,1,0
19,2015-10-10,Detroit Red Wings,4,Carolina Hurricanes,3,0
20,2015-10-10,New York Islanders,1,Chicago Blackhawks,4,1
21,2015-10-10,Dallas Stars,3,Colorado Avalanche,6,1
22,2015-10-10,Philadelphia Flyers,1,Florida Panthers,7,1
23,2015-10-10,St. Louis Blues,2,Minnesota Wild,3,1
24,2015-10-10,Edmonton Oilers,0,Nashville Predators,2,1
25,2015-10-10,Columbus Blue Jackets,2,New York Rangers,5,1
26,2015-10-10,Anaheim Ducks,0,San Jose Sharks,2,1
27,2015-10-10,Ottawa Senators,5,Toronto Maple Leafs,4,0
28,2015-10-10,Calgary Flames,3,Vancouver Canucks,2,0
29,2015-10-10,New Jersey Devils,3,Washington Capitals,5,1
30,2015-10-11,Montreal Canadiens,3,Ottawa Senators,1,0
31,2015-10-12,Vancouver Canucks,2,Anaheim Ducks,1,0
32,2015-10-12,Tampa Bay Lightning,6,Boston Bruins,3,0
33,2015-10-12,Columbus Blue Jackets,2,Buffalo Sabres,4,1
34,2015-10-12,Winnipeg Jets,2,New York Islanders,4,1
35,2015-10-12,Florida Panthers,0,Philadelphia Flyers,1,1
36,2015-10-13,Florida Panthers,4,Carolina Hurricanes,1,0
37,2015-10-13,St. Louis Blues,4,Calgary Flames,3,0
38,2015-10-13,Edmonton Oilers,2,Dallas Stars,4,1
39,2015-10-13,Tampa Bay Lightning,1,Detroit Red Wings,3,1
40,2015-10-13,Vancouver Canucks,3,Los Angeles Kings,0,0
41,2015-10-13,Nashville Predators,3,New Jersey Devils,1,0
42,2015-10-13,Winnipeg Jets,4,New York Rangers,1,0
43,2015-10-13,Montreal Canadiens,3,Pittsburgh Penguins,2,0
44,2015-10-13,San Jose Sharks,5,Washington Capitals,0,0
45,2015-10-14,Arizona Coyotes,4,Anaheim Ducks,0,0
46,2015-10-14,Ottawa Senators,7,Columbus Blue Jackets,3,0
47,2015-10-14,Boston Bruins,6,Colorado Avalanche,2,0
48,2015-10-14,Chicago Blackhawks,0,Philadelphia Flyers,3,1
49,2015-10-15,Minnesota Wild,4,Arizona Coyotes,3,0
50,2015-10-15,St. Louis Blues,4,Edmonton Oilers,2,0
51,2015-10-15,Buffalo Sabres,2,Florida Panthers,3,1
52,2015-10-15,New York Rangers,0,Montreal Canadiens,3,1
53,2015-10-15,Nashville Predators,3,New York Islanders,4,1
54,2015-10-15,Ottawa Senators,0,Pittsburgh Penguins,2,1
55,2015-10-15,Dallas Stars,5,Tampa Bay Lightning,3,0
56,2015-10-15,Chicago Blackhawks,1,Washington Capitals,4,1
57,2015-10-16,Colorado Avalanche,3,Anaheim Ducks,0,0
58,2015-10-16,Toronto Maple Leafs,6,Columbus Blue Jackets,3,0
59,2015-10-16,Carolina Hurricanes,5,Detroit Red Wings,3,0
60,2015-10-16,Minnesota Wild,1,Los Angeles Kings,2,1
61,2015-10-16,San Jose Sharks,2,New Jersey Devils,1,0
62,2015-10-16,St. Louis Blues,4,Vancouver Canucks,3,0
63,2015-10-16,Calgary Flames,1,Winnipeg Jets,3,1
64,2015-10-17,Boston Bruins,5,Arizona Coyotes,3,0
65,2015-10-17,Edmonton Oilers,5,Calgary Flames,2,0
66,2015-10-17,Columbus Blue Jackets,1,Chicago Blackhawks,4,1
67,2015-10-17,Dallas Stars,4,Florida Panthers,2,0
68,2015-10-17,Detroit Red Wings,1,Montreal Canadiens,4,1
69,2015-10-17,San Jose Sharks,3,New York Islanders,6,1
70,2015-10-17,Nashville Predators,4,Ottawa Senators,3,0
71,2015-10-17,Toronto Maple Leafs,1,Pittsburgh Penguins,2,1
72,2015-10-17,Buffalo Sabres,1,Tampa Bay Lightning,2,1
73,2015-10-17,Carolina Hurricanes,1,Washington Capitals,4,1
74,2015-10-18,Minnesota Wild,1,Anaheim Ducks,4,1
75,2015-10-18,Colorado Avalanche,1,Los Angeles Kings,2,1
76,2015-10-18,New Jersey Devils,2,New York Rangers,1,0
77,2015-10-18,Edmonton Oilers,2,Vancouver Canucks,1,0
78,2015-10-18,St. Louis Blues,4,Winnipeg Jets,2,0
79,2015-10-19,San Jose Sharks,0,New York Rangers,4,1
80,2015-10-20,New York Islanders,4,Columbus Blue Jackets,0,0
81,2015-10-20,Washington Capitals,6,Calgary Flames,2,0
82,2015-10-20,St. Louis Blues,0,Montreal Canadiens,3,1
83,2015-10-20,Arizona Coyotes,2,New Jersey Devils,3,1
84,2015-10-20,Tampa Bay Lightning,4,Nashville Predators,5,1
85,2015-10-20,Dallas Stars,2,Philadelphia Flyers,1,0
86,2015-10-20,Florida Panthers,2,Pittsburgh Penguins,3,1
87,2015-10-21,Philadelphia Flyers,5,Boston Bruins,4,0
88,2015-10-21,Toronto Maple Leafs,1,Buffalo Sabres,2,1
89,2015-10-21,Carolina Hurricanes,1,Colorado Avalanche,0,0
90,2015-10-21,Detroit Red Wings,1,Edmonton Oilers,3,1
91,2015-10-22,Florida Panthers,2,Chicago Blackhawks,3,1
92,2015-10-22,Columbus Blue Jackets,2,Minnesota Wild,3,1
93,2015-10-22,Anaheim Ducks,1,Nashville Predators,5,1
94,2015-10-22,Arizona Coyotes,1,New York Rangers,4,1
95,2015-10-22,New Jersey Devils,5,Ottawa Senators,4,0
96,2015-10-22,Dallas Stars,4,Pittsburgh Penguins,1,0
97,2015-10-22,Los Angeles Kings,4,San Jose Sharks,1,0
98,2015-10-22,Washington Capitals,3,Vancouver Canucks,2,0
99,2015-10-23,Montreal Canadiens,7,Buffalo Sabres,2,0
100,2015-10-23,Detroit Red Wings,2,Calgary Flames,3,1
101,2015-10-23,Washington Capitals,7,Edmonton Oilers,4,0
