,Unnamed: 0,Date,Visitor,HG,Home,AG,winner
0,0,2019-10-02,Vancouver Canucks,2,Edmonton Oilers,3,1
1,1,2019-10-02,Washington Capitals,3,St. Louis Blues,2,0
2,2,2019-10-02,Ottawa Senators,3,Toronto Maple Leafs,5,1
3,3,2019-10-02,San Jose Sharks,1,Vegas Golden Knights,4,1
4,4,2019-10-03,Arizona Coyotes,1,Anaheim Ducks,2,1
5,5,2019-10-03,Montreal Canadiens,3,Carolina Hurricanes,4,1
6,6,2019-10-03,Calgary Flames,3,Colorado Avalanche,5,1
7,7,2019-10-03,Boston Bruins,2,Dallas Stars,1,0
8,8,2019-10-03,Minnesota Wild,2,Nashville Predators,5,1
9,9,2019-10-03,Winnipeg Jets,4,New York Rangers,6,1
10,10,2019-10-03,Buffalo Sabres,3,Pittsburgh Penguins,1,0
11,11,2019-10-03,Florida Panthers,2,Tampa Bay Lightning,5,1
12,12,2019-10-04,Toronto Maple Leafs,4,Columbus Blue Jackets,1,0
13,13,2019-10-04,Winnipeg Jets,5,New Jersey Devils,4,0
14,14,2019-10-04,Washington Capitals,2,New York Islanders,1,0
15,15,2019-10-04,Chicago Blackhawks,3,Philadelphia Flyers,4,1
16,16,2019-10-04,Vegas Golden Knights,5,San Jose Sharks,1,0
17,17,2019-10-05,San Jose Sharks,1,Anaheim Ducks,3,1
18,18,2019-10-05,Boston Bruins,1,Arizona Coyotes,0,0
19,19,2019-10-05,New Jersey Devils,2,Buffalo Sabres,7,1
20,20,2019-10-05,Vancouver Canucks,0,Calgary Flames,3,1
21,21,2019-10-05,Minnesota Wild,2,Colorado Avalanche,4,1
22,22,2019-10-05,Los Angeles Kings,5,Edmonton Oilers,6,1
23,23,2019-10-05,Tampa Bay Lightning,3,Florida Panthers,4,1
24,24,2019-10-05,Detroit Red Wings,5,Nashville Predators,3,0
25,25,2019-10-05,New York Rangers,4,Ottawa Senators,1,0
26,26,2019-10-05,Columbus Blue Jackets,2,Pittsburgh Penguins,7,1
27,27,2019-10-05,Dallas Stars,2,St. Louis Blues,3,1
28,28,2019-10-05,Montreal Canadiens,6,Toronto Maple Leafs,5,0
29,29,2019-10-05,Carolina Hurricanes,3,Washington Capitals,2,0
30,30,2019-10-06,Tampa Bay Lightning,3,Carolina Hurricanes,4,1
31,31,2019-10-06,Dallas Stars,3,Detroit Red Wings,4,1
32,32,2019-10-06,Winnipeg Jets,1,New York Islanders,4,1
33,33,2019-10-07,Buffalo Sabres,3,Columbus Blue Jackets,4,1
34,34,2019-10-07,St. Louis Blues,3,Toronto Maple Leafs,2,0
35,35,2019-10-08,Los Angeles Kings,4,Calgary Flames,3,0
36,36,2019-10-08,Anaheim Ducks,3,Detroit Red Wings,1,0
37,37,2019-10-08,Carolina Hurricanes,6,Florida Panthers,3,0
38,38,2019-10-08,San Jose Sharks,2,Nashville Predators,5,1
39,39,2019-10-08,Edmonton Oilers,5,New York Islanders,2,0
40,40,2019-10-08,Winnipeg Jets,4,Pittsburgh Penguins,1,0
41,41,2019-10-08,Boston Bruins,4,Vegas Golden Knights,3,0
42,42,2019-10-08,Dallas Stars,4,Washington Capitals,3,0
43,43,2019-10-09,Montreal Canadiens,4,Buffalo Sabres,5,1
44,44,2019-10-09,New Jersey Devils,0,Philadelphia Flyers,4,1
45,45,2019-10-09,Los Angeles Kings,2,Vancouver Canucks,8,1
46,46,2019-10-10,Vegas Golden Knights,1,Arizona Coyotes,4,1
47,47,2019-10-10,San Jose Sharks,5,Chicago Blackhawks,4,0
48,48,2019-10-10,Boston Bruins,2,Colorado Avalanche,4,1
49,49,2019-10-10,Calgary Flames,3,Dallas Stars,2,0
50,50,2019-10-10,Detroit Red Wings,4,Montreal Canadiens,2,0
51,51,2019-10-10,Edmonton Oilers,4,New Jersey Devils,3,0
52,52,2019-10-10,Washington Capitals,5,Nashville Predators,6,1
53,53,2019-10-10,St. Louis Blues,6,Ottawa Senators,4,0
54,54,2019-10-10,Anaheim Ducks,1,Pittsburgh Penguins,2,1
55,55,2019-10-10,Tampa Bay Lightning,7,Toronto Maple Leafs,3,0
56,56,2019-10-10,Minnesota Wild,2,Winnipeg Jets,5,1
57,57,2019-10-11,Florida Panthers,2,Buffalo Sabres,3,1
58,58,2019-10-11,New York Islanders,2,Carolina Hurricanes,5,1
59,59,2019-10-11,Anaheim Ducks,2,Columbus Blue Jackets,1,0
60,60,2019-10-12,New Jersey Devils,0,Boston Bruins,3,1
61,61,2019-10-12,Columbus Blue Jackets,3,Carolina Hurricanes,2,0
62,62,2019-10-12,Winnipeg Jets,3,Chicago Blackhawks,2,0
63,63,2019-10-12,Arizona Coyotes,2,Colorado Avalanche,3,1
64,64,2019-10-12,Washington Capitals,4,Dallas Stars,1,0
65,65,2019-10-12,Toronto Maple Leafs,5,Detroit Red Wings,2,0
66,66,2019-10-12,Nashville Predators,4,Los Angeles Kings,7,1
67,67,2019-10-12,Pittsburgh Penguins,7,Minnesota Wild,4,0
68,68,2019-10-12,St. Louis Blues,3,Montreal Canadiens,6,1
69,69,2019-10-12,Florida Panthers,2,New York Islanders,3,1
70,70,2019-10-12,Edmonton Oilers,4,New York Rangers,1,0
71,71,2019-10-12,Tampa Bay Lightning,2,Ottawa Senators,4,1
72,72,2019-10-12,Philadelphia Flyers,2,Vancouver Canucks,3,1
73,73,2019-10-12,Calgary Flames,2,Vegas Golden Knights,6,1
74,74,2019-10-13,Vegas Golden Knights,5,Los Angeles Kings,2,0
75,75,2019-10-13,Calgary Flames,1,San Jose Sharks,3,1
76,76,2019-10-13,Pittsburgh Penguins,7,Winnipeg Jets,2,0
77,77,2019-10-14,Anaheim Ducks,2,Boston Bruins,4,1
78,78,2019-10-14,Dallas Stars,0,Buffalo Sabres,4,1
79,79,2019-10-14,Edmonton Oilers,1,Chicago Blackhawks,3,1
80,80,2019-10-14,Florida Panthers,6,New Jersey Devils,4,0
81,81,2019-10-14,St. Louis Blues,2,New York Islanders,3,1
82,82,2019-10-14,Minnesota Wild,2,Ottawa Senators,0,0
83,83,2019-10-14,Colorado Avalanche,6,Washington Capitals,3,0
84,84,2019-10-15,Philadelphia Flyers,1,Calgary Flames,3,1
85,85,2019-10-15,Carolina Hurricanes,2,Los Angeles Kings,0,0
86,86,2019-10-15,Tampa Bay Lightning,3,Montreal Canadiens,1,0
87,87,2019-10-15,Minnesota Wild,2,Toronto Maple Leafs,4,1
88,88,2019-10-15,Detroit Red Wings,1,Vancouver Canucks,5,1
89,89,2019-10-15,Nashville Predators,5,Vegas Golden Knights,2,0
90,90,2019-10-15,Arizona Coyotes,4,Winnipeg Jets,2,0
91,91,2019-10-16,Buffalo Sabres,2,Anaheim Ducks,5,1
92,92,2019-10-16,Dallas Stars,2,Columbus Blue Jackets,3,1
93,93,2019-10-16,Philadelphia Flyers,3,Edmonton Oilers,6,1
94,94,2019-10-16,Colorado Avalanche,2,Pittsburgh Penguins,3,1
95,95,2019-10-16,Carolina Hurricanes,2,San Jose Sharks,5,1
96,96,2019-10-16,Toronto Maple Leafs,3,Washington Capitals,4,1
97,97,2019-10-17,Nashville Predators,2,Arizona Coyotes,5,1
98,98,2019-10-17,Tampa Bay Lightning,4,Boston Bruins,3,0
99,99,2019-10-17,Detroit Red Wings,1,Calgary Flames,5,1
100,100,2019-10-17,Buffalo Sabres,3,Los Angeles Kings,0,0
101,101,2019-10-17,Minnesota Wild,0,Montreal Canadiens,4,1
102,102,2019-10-17,New York Rangers,2,New Jersey Devils,5,1
103,103,2019-10-17,Vancouver Canucks,4,St. Louis Blues,3,0
104,104,2019-10-17,Ottawa Senators,2,Vegas Golden Knights,3,1
105,105,2019-10-17,New York Islanders,3,Winnipeg Jets,1,0
106,106,2019-10-18,Carolina Hurricanes,2,Anaheim Ducks,4,1
107,107,2019-10-18,Columbus Blue Jackets,2,Chicago Blackhawks,3,1
108,108,2019-10-18,Detroit Red Wings,1,Edmonton Oilers,2,1
109,109,2019-10-18,Colorado Avalanche,5,Florida Panthers,4,0
110,110,2019-10-18,Dallas Stars,2,Pittsburgh Penguins,4,1
111,111,2019-10-18,New York Rangers,2,Washington Capitals,5,1
112,112,2019-10-19,Ottawa Senators,2,Arizona Coyotes,5,1
113,113,2019-10-19,New York Islanders,3,Columbus Blue Jackets,2,0
114,114,2019-10-19,Calgary Flames,1,Los Angeles Kings,4,1
115,115,2019-10-19,Vancouver Canucks,0,New Jersey Devils,1,1
116,116,2019-10-19,Florida Panthers,3,Nashville Predators,2,0
117,117,2019-10-19,Dallas Stars,4,Philadelphia Flyers,1,0
118,118,2019-10-19,Vegas Golden Knights,3,Pittsburgh Penguins,0,0
119,119,2019-10-19,Buffalo Sabres,4,San Jose Sharks,3,0
120,120,2019-10-19,Montreal Canadiens,5,St. Louis Blues,2,0
121,121,2019-10-19,Colorado Avalanche,6,Tampa Bay Lightning,2,0
122,122,2019-10-19,Boston Bruins,3,Toronto Maple Leafs,4,1
123,123,2019-10-20,Calgary Flames,2,Anaheim Ducks,1,0
124,124,2019-10-20,Washington Capitals,5,Chicago Blackhawks,3,0
125,125,2019-10-20,Montreal Canadiens,3,Minnesota Wild,4,1
126,126,2019-10-20,Vancouver Canucks,3,New York Rangers,2,0
127,127,2019-10-20,Edmonton Oilers,0,Winnipeg Jets,1,1
128,128,2019-10-21,Ottawa Senators,1,Dallas Stars,2,1
129,129,2019-10-21,Vegas Golden Knights,2,Philadelphia Flyers,6,1
130,130,2019-10-21,Colorado Avalanche,1,St. Louis Blues,3,1
131,131,2019-10-21,Columbus Blue Jackets,4,Toronto Maple Leafs,3,0
132,132,2019-10-22,Toronto Maple Leafs,2,Boston Bruins,4,1
133,133,2019-10-22,San Jose Sharks,3,Buffalo Sabres,4,1
134,134,2019-10-22,Washington Capitals,5,Calgary Flames,3,0
135,135,2019-10-22,Vegas Golden Knights,2,Chicago Blackhawks,1,0
136,136,2019-10-22,Vancouver Canucks,5,Detroit Red Wings,2,0
137,137,2019-10-22,Pittsburgh Penguins,2,Florida Panthers,4,1
138,138,2019-10-22,Edmonton Oilers,0,Minnesota Wild,3,1
139,139,2019-10-22,Anaheim Ducks,1,Nashville Predators,6,1
140,140,2019-10-22,Arizona Coyotes,3,New York Rangers,2,0
141,141,2019-10-22,Los Angeles Kings,3,Winnipeg Jets,2,0
142,142,2019-10-23,Detroit Red Wings,2,Ottawa Senators,5,1
143,143,2019-10-23,Pittsburgh Penguins,2,Tampa Bay Lightning,3,1
144,144,2019-10-24,Carolina Hurricanes,3,Columbus Blue Jackets,4,1
145,145,2019-10-24,Florida Panthers,5,Calgary Flames,6,1
146,146,2019-10-24,Philadelphia Flyers,4,Chicago Blackhawks,1,0
147,147,2019-10-24,Anaheim Ducks,1,Dallas Stars,2,1
148,148,2019-10-24,Washington Capitals,3,Edmonton Oilers,4,1
149,149,2019-10-24,San Jose Sharks,4,Montreal Canadiens,2,0
150,150,2019-10-24,Minnesota Wild,0,Nashville Predators,4,1
151,151,2019-10-24,Arizona Coyotes,2,New York Islanders,4,1
152,152,2019-10-24,Buffalo Sabres,2,New York Rangers,6,1
153,153,2019-10-24,Los Angeles Kings,2,St. Louis Blues,5,1
154,154,2019-10-25,Buffalo Sabres,2,Detroit Red Wings,0,0
155,155,2019-10-25,Arizona Coyotes,5,New Jersey Devils,3,0
156,156,2019-10-25,New York Islanders,4,Ottawa Senators,2,0
157,157,2019-10-25,San Jose Sharks,1,Toronto Maple Leafs,4,1
158,158,2019-10-25,Washington Capitals,6,Vancouver Canucks,5,0
159,159,2019-10-25,Colorado Avalanche,6,Vegas Golden Knights,1,0
160,160,2019-10-26,St. Louis Blues,0,Boston Bruins,3,1
161,161,2019-10-26,Chicago Blackhawks,0,Carolina Hurricanes,4,1
162,162,2019-10-26,Anaheim Ducks,5,Colorado Avalanche,2,0
163,163,2019-10-26,Pittsburgh Penguins,3,Dallas Stars,0,0
164,164,2019-10-26,Los Angeles Kings,1,Minnesota Wild,5,1
165,165,2019-10-26,Toronto Maple Leafs,2,Montreal Canadiens,5,1
166,166,2019-10-26,Columbus Blue Jackets,4,Philadelphia Flyers,7,1
167,167,2019-10-26,Nashville Predators,3,Tampa Bay Lightning,2,0
168,168,2019-10-26,Calgary Flames,1,Winnipeg Jets,2,1
169,169,2019-10-27,Los Angeles Kings,1,Chicago Blackhawks,5,1
170,170,2019-10-27,St. Louis Blues,5,Detroit Red Wings,4,0
171,171,2019-10-27,Florida Panthers,6,Edmonton Oilers,2,0
172,172,2019-10-27,Philadelphia Flyers,3,New York Islanders,5,1
173,173,2019-10-27,Boston Bruins,7,New York Rangers,4,0
174,174,2019-10-27,San Jose Sharks,2,Ottawa Senators,5,1
175,175,2019-10-27,Anaheim Ducks,2,Vegas Golden Knights,5,1
176,176,2019-10-28,Arizona Coyotes,3,Buffalo Sabres,2,0
177,177,2019-10-28,Florida Panthers,2,Vancouver Canucks,7,1
178,178,2019-10-29,Winnipeg Jets,4,Anaheim Ducks,7,1
179,179,2019-10-29,San Jose Sharks,1,Boston Bruins,5,1
180,180,2019-10-29,Calgary Flames,1,Carolina Hurricanes,2,1
181,181,2019-10-29,Minnesota Wild,3,Dallas Stars,6,1
182,182,2019-10-29,Edmonton Oilers,1,Detroit Red Wings,3,1
183,183,2019-10-29,Chicago Blackhawks,0,Nashville Predators,3,1
184,184,2019-10-29,Tampa Bay Lightning,1,New York Rangers,4,1
185,185,2019-10-29,Philadelphia Flyers,1,Pittsburgh Penguins,7,1
186,186,2019-10-29,Washington Capitals,4,Toronto Maple Leafs,3,0
187,187,2019-10-30,Montreal Canadiens,4,Arizona Coyotes,1,0
188,188,2019-10-30,Edmonton Oilers,4,Columbus Blue Jackets,1,0
189,189,2019-10-30,Florida Panthers,4,Colorado Avalanche,3,0
190,190,2019-10-30,Vancouver Canucks,5,Los Angeles Kings,3,0
191,191,2019-10-30,Tampa Bay Lightning,7,New Jersey Devils,6,0
192,192,2019-10-30,Minnesota Wild,1,St. Louis Blues,2,1
193,193,2019-10-31,Calgary Flames,6,Nashville Predators,5,0
194,194,2019-10-31,Montreal Canadiens,5,Vegas Golden Knights,4,0
195,195,2019-11-01,Vancouver Canucks,1,Anaheim Ducks,2,1
196,196,2019-11-01,Detroit Red Wings,3,Carolina Hurricanes,7,1
197,197,2019-11-01,Dallas Stars,2,Colorado Avalanche,1,0
198,198,2019-11-01,Philadelphia Flyers,4,New Jersey Devils,3,0
199,199,2019-11-01,Tampa Bay Lightning,2,New York Islanders,5,1
200,200,2019-11-01,Winnipeg Jets,3,San Jose Sharks,2,0
201,201,2019-11-01,Columbus Blue Jackets,3,St. Louis Blues,4,1
202,202,2019-11-01,Buffalo Sabres,1,Washington Capitals,6,1
203,203,2019-11-02,Colorado Avalanche,0,Arizona Coyotes,3,1
204,204,2019-11-02,Ottawa Senators,2,Boston Bruins,5,1
205,205,2019-11-02,New York Islanders,1,Buffalo Sabres,0,0
206,206,2019-11-02,New Jersey Devils,5,Carolina Hurricanes,3,0
207,207,2019-11-02,Calgary Flames,3,Columbus Blue Jackets,0,0
208,208,2019-11-02,Montreal Canadiens,1,Dallas Stars,4,1
209,209,2019-11-02,Detroit Red Wings,0,Florida Panthers,4,1
210,210,2019-11-02,Chicago Blackhawks,3,Los Angeles Kings,4,1
211,211,2019-11-02,St. Louis Blues,4,Minnesota Wild,3,0
212,212,2019-11-02,New York Rangers,2,Nashville Predators,1,0
213,213,2019-11-02,Toronto Maple Leafs,4,Philadelphia Flyers,3,0
214,214,2019-11-02,Edmonton Oilers,2,Pittsburgh Penguins,1,0
215,215,2019-11-02,Vancouver Canucks,5,San Jose Sharks,2,0
216,216,2019-11-02,Winnipeg Jets,4,Vegas Golden Knights,3,0
217,217,2019-11-03,Chicago Blackhawks,3,Anaheim Ducks,2,0
218,218,2019-11-03,Calgary Flames,2,Washington Capitals,4,1
219,219,2019-11-04,Pittsburgh Penguins,4,Boston Bruins,6,1
220,220,2019-11-04,Nashville Predators,6,Detroit Red Wings,1,0
221,221,2019-11-04,Arizona Coyotes,3,Edmonton Oilers,2,0
222,222,2019-11-04,Ottawa Senators,6,New York Rangers,2,0
223,223,2019-11-05,Minnesota Wild,4,Anaheim Ducks,2,0
