Validation = 0.5355648535564853	Average % = [0.2594559]	    loss = 0.9747897982597351
Validation = 0.5585774058577406	Average % = [0.52858245]	loss = 0.7299841642379761
Validation = 0.6401673640167364	Average % = [0.44876945]	loss = 0.7007209062576294
Validation = 0.6234309623430963	Average % = [0.5228645]	    loss = 0.6660051345825195
Validation = 0.5690376569037657	Average % = [0.57720554]	loss = 0.6887467503547668
Validation = 0.6192468619246861	Average % = [0.5021325]	    loss = 0.670864462852478
Validation = 0.606694560669456	Average % = [0.5448894]	    loss = 0.6761846542358398
Validation = 0.6317991631799164	Average % = [0.4701544]	    loss = 0.665161669254303
Validation = 0.6276150627615062	Average % = [0.45551965]	loss = 0.6820176243782043
Validation = 0.606694560669456	Average % = [0.5458047]	    loss = 0.6580052375793457
Validation = 0.6297071129707112	Average % = [0.48632908]	loss = 0.661399245262146
Validation = 0.606694560669456	Average % = [0.44290534]	loss = 0.7356144785881042
Validation = 0.5711297071129707	Average % = [0.6053805]	    loss = 0.6781085133552551
Validation = 0.6108786610878661	Average % = [0.50233454]	loss = 0.6620453000068665
Validation = 0.604602510460251	Average % = [0.44450524]	loss = 0.6686819791793823
