Validation = 0.5481171548117155	Average % = [0.36803576]	loss = 0.7640353441238403
Validation = 0.5355648535564853	Average % = [0.31884113]	loss = 0.7931039929389954
Validation = 0.5627615062761506	Average % = [0.36596915]	loss = 0.7411142587661743
Validation = 0.5899581589958159	Average % = [0.4047677]	loss = 0.7077006101608276
Validation = 0.5669456066945606	Average % = [0.3514421]	loss = 0.7435374855995178
Validation = 0.5606694560669456	Average % = [0.35531452]	loss = 0.7373562455177307
Validation = 0.604602510460251	Average % = [0.40437737]	loss = 0.7083266377449036
Validation = 0.6276150627615062	Average % = [0.4587743]	loss = 0.6937056183815002
Validation = 0.600418410041841	Average % = [0.38043457]	loss = 0.7154017090797424
Validation = 0.606694560669456	Average % = [0.39391237]	loss = 0.70278400182724
Validation = 0.6317991631799164	Average % = [0.4331148]	loss = 0.691875159740448
Validation = 0.6150627615062761	Average % = [0.36820495]	loss = 0.7248163223266602
Validation = 0.6380753138075314	Average % = [0.4179243]	loss = 0.7128641605377197
Validation = 0.6234309623430963	Average % = [0.40668407]	loss = 0.7043195962905884
Validation = 0.6150627615062761	Average % = [0.3875221]	loss = 0.711768627166748
Validation = 0.5836820083682008	Average % = [0.3130365]	loss = 0.7876875996589661
Validation = 0.606694560669456	Average % = [0.33896428]	loss = 0.7534418106079102
Validation = 0.6150627615062761	Average % = [0.39554566]	loss = 0.7220384478569031
Validation = 0.6213389121338913	Average % = [0.37431893]	loss = 0.7270768284797668
Validation = 0.606694560669456	Average % = [0.3675737]	loss = 0.7258272767066956
Validation = 0.6338912133891214	Average % = [0.41797638]	loss = 0.6925325393676758
Validation = 0.5920502092050209	Average % = [0.35881278]	loss = 0.7387466430664062
Validation = 0.6255230125523012	Average % = [0.3899942]	loss = 0.705533504486084
Validation = 0.608786610878661	Average % = [0.3672202]	loss = 0.7289052605628967
Validation = 0.6192468619246861	Average % = [0.3756137]	loss = 0.7277729511260986
